Left,Label
DB01037,2
DB01589,0
DB00908,2
DB06282,0
DB01367,2
DB00781,0
DB09245,2
DB06781,0
DB06148,2
DB06148,0
DB00979,2
DB00979,0
DB09241,2
DB01463,0
DB01591,2
DB11268,0
DB00387,2
DB00709,0
DB00376,2
DB08822,0
DB06148,2
DB06148,0
DB09244,2
DB00891,0
DB00657,2
DB00657,0
DB01199,2
DB00142,0
DB01409,2
DB01409,0
DB00245,2
DB00245,0
DB00809,2
DB00809,0
DB01037,2
DB01037,0
DB00782,2
DB00782,0
DB01337,2
DB00783,0
DB01090,2
DB00599,0
DB00804,2
DB05109,0
DB00483,2
DB00483,0
DB01338,2
DB01338,0
DB00967,2
DB04846,0
DB06148,2
DB06148,0
DB06148,2
DB13142,0
DB01626,2
DB01626,0
DB00182,2
DB00186,0
DB01367,2
DB01367,0
DB09244,2
DB09244,0
DB06148,2
DB06148,0
DB06148,2
DB06148,0
DB00780,2
DB06799,0
DB09245,2
DB01397,0
DB00940,2
DB00741,0
DB00979,2
DB00979,0
DB00182,2
DB00182,0
DB09241,2
DB09241,0
DB01062,2
DB01068,0
DB00340,2
DB00340,0
DB06148,2
DB06148,0
DB00804,2
DB11793,0
DB00424,2
DB00424,0
DB06148,2
DB06816,0
DB00810,2
DB00362,0
DB06148,2
DB01273,0
DB01626,2
DB08867,0
DB00810,2
DB00258,0
DB00392,2
DB00392,0
DB09300,2
DB09300,0
DB00780,2
DB00780,0
DB00747,2
DB08893,0
DB01337,2
DB01337,0
DB00572,2
DB00572,0
DB01626,2
DB00434,0
DB00805,2
DB08826,0
DB00810,2
DB00810,0
DB11315,2
DB09245,0
DB00752,2
DB00752,0
DB00804,2
DB00205,0
DB01626,2
DB00980,0
DB06148,2
DB00184,0
DB00780,2
DB00211,0
DB00245,2
DB00245,0
DB00986,2
DB00986,0
DB06148,2
DB08957,0
DB00614,2
DB00614,0
DB00780,2
DB00780,0
DB00483,2
DB09027,0
DB09300,2
DB00763,0
DB01173,2
DB01173,0
DB00752,2
DB06769,0
DB06148,2
DB06148,0
DB00387,2
DB01248,0
DB00747,2
DB00345,0
DB00376,2
DB00376,0
DB00245,2
DB00245,0
DB00496,2
DB00496,0
DB01173,2
DB01243,0
DB00614,2
DB00614,0
DB06148,2
DB00298,0
DB00809,2
DB08868,0
DB08897,2
DB09295,0
DB00804,2
DB00804,0
DB06148,2
DB09021,0
DB00340,2
DB00340,0
DB00979,2
DB00979,0
DB06148,2
DB01104,0
DB00517,2
DB00296,0
DB00967,2
DB00665,0
DB01062,2
DB05541,0
DB00940,2
DB00890,0
DB00245,2
DB00258,0
DB00986,2
DB09343,0
DB01339,2
DB01339,0
DB00392,2
DB00392,0
DB11315,2
DB00296,0
DB00496,2
DB00496,0
DB00245,2
DB04711,0
DB01036,2
DB01036,0
DB00804,2
DB01599,0
DB01591,2
DB11921,0
DB00979,2
DB00165,0
DB00940,2
DB01105,0
DB00517,2
DB00517,0
DB01337,2
DB06016,0
DB00809,2
DB00809,0
DB00747,2
DB00747,0
DB09245,2
DB09245,0
DB00483,2
DB00468,0
DB01062,2
DB01062,0
DB00805,2
DB00805,0
DB00496,2
DB04842,0
DB01037,2
DB01037,0
DB00732,2
DB00732,0
DB00483,2
DB00483,0
DB09300,2
DB09300,0
DB00392,2
DB00392,0
DB00462,2
DB00241,0
DB06148,2
DB06148,0
DB00340,2
DB00340,0
DB01338,2
DB00273,0
DB01339,2
DB01339,0
DB09245,2
DB09245,0
DB01337,2
DB09256,0
DB09241,2
DB09241,0
DB00572,2
DB00572,0
DB04574,3
DB00665,0
DB00635,3
DB00635,0
DB00860,3
DB00860,0
DB00588,3
DB00714,0
DB00860,3
DB00356,0
DB01130,3
DB00927,0
DB00588,3
DB00588,0
DB00635,3
DB00635,0
DB08970,3
DB00621,0
DB00741,3
DB00741,0
DB01047,3
DB01131,0
DB11921,3
DB11921,0
DB00959,3
DB00891,0
DB00764,3
DB00764,0
DB00394,3
DB00394,0
DB04574,3
DB04574,0
DB09095,3
DB09095,0
DB00253,3
DB00253,0
DB00443,3
DB01161,0
DB00596,3
DB00596,0
DB00663,3
DB00663,0
DB00591,3
DB00591,0
DB00687,3
DB00687,0
DB00240,3
DB00240,0
DB00547,3
DB00547,0
DB08906,3
DB08906,0
DB01047,3
DB00876,0
DB13158,3
DB13158,0
DB00959,3
DB09143,0
DB00741,3
DB00741,0
DB00223,3
DB09082,0
DB00288,3
DB00689,0
DB02187,3
DB02187,0
DB00253,3
DB00253,0
DB01410,3
DB01410,0
DB00896,3
DB00896,0
DB09095,3
DB09095,0
DB00896,3
DB00896,0
DB01234,3
DB01234,0
DB00591,3
DB01012,0
DB00596,3
DB00596,0
DB00635,3
DB00635,0
DB00443,3
DB00387,0
DB01260,3
DB01260,0
DB13158,3
DB08983,0
DB00223,3
DB00223,0
DB06786,3
DB06786,0
DB06781,3
DB06781,0
DB11921,3
DB11921,0
DB00223,3
DB00223,0
DB11921,3
DB11921,0
DB00655,3
DB00655,0
DB00180,3
DB00180,0
DB01130,3
DB01130,0
DB00860,3
DB00860,0
DB06781,3
DB06781,0
DB00620,3
DB00620,0
DB00741,3
DB00741,0
DB00180,3
DB00180,0
DB01384,3
DB00654,0
DB01380,3
DB01380,0
DB00547,3
DB00547,0
DB08906,3
DB08906,0
DB00596,3
DB00596,0
DB00896,3
DB00896,0
DB08971,3
DB08971,0
DB06781,3
DB08807,0
DB00635,3
DB00635,0
DB00443,3
DB00869,0
DB00253,3
DB00253,0
DB11921,3
DB09218,0
DB04574,3
DB04574,0
DB00288,3
DB00288,0
DB01234,3
DB01234,0
DB01222,3
DB01222,0
DB01260,3
DB01260,0
DB00896,3
DB00896,0
DB00959,3
DB00245,0
DB00180,3
DB09053,0
DB01130,3
DB01130,0
DB00324,3
DB00387,0
DB09095,3
DB09095,0
DB01130,3
DB01130,0
DB00663,3
DB00663,0
DB00223,3
DB00223,0
DB00687,3
DB00687,0
DB00591,3
DB00591,0
DB06786,3
DB00508,0
DB00860,3
DB00860,0
DB00324,3
DB00324,0
DB06781,3
DB06781,0
DB00635,3
DB00635,0
DB00223,3
DB00223,0
DB13158,3
DB13158,0
DB00180,3
DB00180,0
DB09095,3
DB09095,0
DB00591,3
DB00591,0
DB00596,3
DB00434,0
DB01380,3
DB04894,0
DB01384,3
DB01384,0
DB06786,3
DB06786,0
DB01260,3
DB01260,0
DB00394,3
DB00394,0
DB00591,3
DB00591,0
DB00547,3
DB00547,0
DB00596,3
DB00972,0
DB00588,3
DB00588,0
DB11921,3
DB11921,0
DB00846,3
DB00846,0
DB00253,3
DB00253,0
DB00687,3
DB00687,0
DB00240,3
DB00240,0
DB11921,3
DB11921,0
DB08970,3
DB01174,0
DB01234,3
DB01234,0
DB00324,3
DB00324,0
DB01047,3
DB01047,0
DB00860,3
DB00860,0
DB00663,3
DB00504,0
DB00959,3
DB00959,0
DB00896,3
DB00896,0
DB00591,3
DB00591,0
DB00596,3
DB09054,0
DB00655,3
DB00655,0
DB00324,3
DB00324,0
DB00620,3
DB00620,0
DB08970,3
DB08970,0
DB08971,3
DB02513,0
DB01047,3
DB06335,0
DB01130,3
DB01130,0
DB00288,3
DB00288,0
DB08906,3
DB08906,0
DB00764,3
DB00764,0
DB00240,3
DB00548,0
DB01260,3
DB01260,0
DB00655,3
DB00655,0
DB00288,3
DB00288,0
DB00324,3
DB00324,0
DB13158,3
DB13158,0
DB00253,3
DB00253,0
DB02187,3
DB01452,0
DB00394,3
DB06413,0
DB01380,3
DB01380,0
DB00896,3
DB09293,0
DB01384,3
DB00367,0
DB00620,3
DB00620,0
DB01222,3
DB01222,0
DB01222,3
DB01222,0
DB00838,3
DB00838,0
DB01380,3
DB01380,0
DB01384,3
DB01384,0
DB00959,3
DB00959,0
DB00253,3
DB00253,0
DB00764,3
DB00764,0
DB00288,3
DB00288,0
DB00223,3
DB00223,0
DB00620,3
DB00620,0
DB00588,3
DB00588,0
DB00655,3
DB01362,0
DB00394,3
DB00394,0
DB13158,3
DB13158,0
DB00959,3
DB00959,0
DB00547,3
DB00833,0
DB01047,3
DB01047,0
DB01047,3
DB01047,0
DB00620,3
DB00620,0
DB00838,3
DB00838,0
DB00635,3
DB00635,0
DB00223,3
DB00223,0
DB01013,3
DB01013,0
DB00635,3
DB00635,0
DB00846,3
DB00846,0
DB01234,3
DB01234,0
DB00959,3
DB00959,0
DB00838,3
DB00838,0
DB00959,3
DB00959,0
DB00240,3
DB00240,0
DB01013,3
DB01013,0
DB02187,3
DB02187,0
DB01222,3
DB00499,0
DB02187,3
DB02187,0
DB01013,3
DB13747,0
DB00655,3
DB09162,0
DB00846,3
DB01397,0
DB00663,3
DB09338,0
DB00764,3
DB00764,0
DB00655,3
DB00655,0
DB00394,3
DB00394,0
DB00253,3
DB00253,0
DB00687,3
DB00687,0
DB01130,3
DB01130,0
DB00663,3
DB00663,0
DB08970,3
DB00924,0
DB00588,3
DB06724,0
DB00443,3
DB00443,0
DB00741,3
DB00741,0
DB02187,3
DB02187,0
DB00764,3
DB00764,0
DB00620,3
DB00620,0
DB00588,3
DB00588,0
DB04574,3
DB01600,0
DB00180,3
DB00180,0
DB00547,3
DB00470,0
DB00663,3
DB00663,0
DB01013,3
DB01013,0
DB01047,3
DB01047,0
DB01410,3
DB01410,0
DB00223,3
DB00223,0
DB00860,3
DB09227,0
DB00443,3
DB00443,0
DB00240,3
DB00240,0
DB00324,3
DB00324,0
DB11921,3
DB11921,0
DB01260,3
DB01260,0
DB08970,3
DB08970,0
DB08971,3
DB08971,0
DB13158,3
DB00354,0
DB00687,3
DB00687,0
DB01260,3
DB01260,0
DB01013,3
DB01013,0
DB00896,3
DB00896,0
DB11921,3
DB11921,0
DB00588,3
DB01090,0
DB06786,3
DB00774,0
DB06781,3
DB06781,0
DB01410,3
DB01410,0
DB06786,3
DB06786,0
DB06781,3
DB06781,0
DB00846,3
DB00457,0
DB00860,3
DB00860,0
DB00764,3
DB00337,0
DB01130,3
DB01130,0
DB00394,3
DB00394,0
DB00764,3
DB00764,0
DB00860,3
DB09204,0
DB01260,3
DB01260,0
DB00846,3
DB00846,0
DB00443,3
DB00443,0
DB00591,3
DB00591,0
DB08906,3
DB08906,0
DB00687,3
DB00687,0
DB02187,3
DB02187,0
DB08971,3
DB08971,0
DB08970,3
DB08970,0
DB00180,3
DB00180,0
DB02187,3
DB02187,0
DB00663,3
DB00663,0
DB01013,3
DB01013,0
DB06786,3
DB06786,0
DB00547,3
DB00547,0
DB01410,3
DB01410,0
DB01380,3
DB01608,0
DB00240,3
DB00240,0
DB01384,3
DB01384,0
DB00764,3
DB00764,0
DB00846,3
DB00475,0
DB01410,3
DB01410,0
DB00687,3
DB00687,0
DB01234,3
DB01234,0
DB01234,3
DB01234,0
DB00288,3
DB00288,0
DB01384,3
DB01384,0
DB01380,3
DB00933,0
DB00846,3
DB00846,0
DB00288,3
DB00288,0
DB00896,3
DB00896,0
DB00240,3
DB00297,0
DB02187,3
DB02187,0
DB11921,3
DB11921,0
DB00547,3
DB09065,0
DB01047,3
DB01047,0
DB00838,3
DB00876,0
DB00547,3
DB11121,0
DB00655,3
DB00655,0
DB04574,3
DB04574,0
DB00620,3
DB00620,0
DB00394,3
DB00394,0
DB01222,3
DB01222,0
DB01384,3
DB01384,0
DB01380,3
DB01380,0
DB00324,3
DB00324,0
DB04574,3
DB04574,0
DB01130,3
DB01130,0
DB00896,3
DB00896,0
DB08906,3
DB08906,0
DB06781,3
DB06781,0
DB06786,3
DB06786,0
DB01222,3
DB01222,0
DB09095,3
DB00771,0
DB13158,3
DB13158,0
DB01222,3
DB01222,0
DB00443,3
DB00443,0
DB01380,3
DB01380,0
DB04574,3
DB01181,0
DB01384,3
DB01384,0
DB09095,3
DB00856,0
DB08971,3
DB08971,0
DB01410,3
DB01410,0
DB02187,3
DB02187,0
DB04574,3
DB04574,0
DB00663,3
DB00663,0
DB08906,3
DB08906,0
DB00635,3
DB00635,0
DB00180,3
DB00180,0
DB00288,3
DB00288,0
DB00663,3
DB00663,0
DB08971,3
DB08971,0
DB00655,3
DB00655,0
DB00240,3
DB00240,0
DB00838,3
DB00838,0
DB00240,3
DB08811,0
DB08906,3
DB08906,0
DB00180,3
DB00321,0
DB00741,3
DB00741,0
DB00596,3
DB01104,0
DB00591,3
DB00943,0
DB00180,3
DB00180,0
DB01047,3
DB01047,0
DB00596,3
DB00596,0
DB00394,3
DB00394,0
DB09095,3
DB09095,0
DB06781,3
DB06781,0
DB00588,3
DB00588,0
DB06786,3
DB06786,0
DB01410,3
DB00334,0
DB02187,3
DB02187,0
DB00324,3
DB00324,0
DB08906,3
DB08906,0
DB00741,3
DB00741,0
DB00443,3
DB00750,0
DB01013,3
DB01013,0
DB00240,3
DB00240,0
DB01380,3
DB01380,0
DB00547,3
DB00547,0
DB00860,3
DB00860,0
DB00253,3
DB00253,0
DB00687,3
DB00687,0
DB00180,3
DB00180,0
DB00687,3
DB13025,0
DB00764,3
DB00764,0
DB01222,3
DB01222,0
DB06786,3
DB06786,0
DB06781,3
DB06781,0
DB01260,3
DB01260,0
DB01013,3
DB01013,0
DB00959,3
DB00959,0
DB00959,3
DB00959,0
DB00896,3
DB00896,0
DB00596,3
DB00596,0
DB09095,3
DB09095,0
DB08971,3
DB08971,0
DB06786,3
DB06786,0
DB04574,3
DB00296,0
DB11921,3
DB11921,0
DB13158,3
DB13158,0
DB00635,3
DB00635,0
DB13158,3
DB13158,0
DB01260,3
DB01260,0
DB00620,3
DB00620,0
DB00741,3
DB00741,0
DB01013,3
DB01013,0
DB06781,3
DB06781,0
DB08971,3
DB00980,0
DB08970,3
DB05109,0
DB00443,3
DB00443,0
DB00838,3
DB00838,0
DB00655,3
DB00655,0
DB01234,3
DB01234,0
DB00655,3
DB08964,0
DB01410,3
DB01410,0
DB08970,3
DB08970,0
DB08971,3
DB08971,0
DB01013,3
DB01013,0
DB00687,3
DB00126,0
DB13158,3
DB00451,0
DB00547,3
DB09026,0
DB00394,3
DB00394,0
DB00838,3
DB00838,0
DB00620,3
DB00620,0
DB00860,3
DB00860,0
DB04574,3
DB04574,0
DB00288,3
DB01356,0
DB00838,3
DB00838,0
DB00324,3
DB00324,0
DB00588,3
DB00588,0
DB00335,3
DB00335,0
DB00741,3
DB00741,0
DB00741,3
DB00741,0
DB01130,3
DB00353,0
DB08970,3
DB08970,0
DB00620,3
DB11619,0
DB01260,3
DB09000,0
DB01410,3
DB01410,0
DB01130,3
DB01130,0
DB08906,3
DB08906,0
DB00635,3
DB00652,0
DB00741,3
DB00741,0
DB09095,3
DB09095,0
DB01234,3
DB01234,0
DB09095,3
DB09095,0
DB00394,3
DB00835,0
DB00846,3
DB00846,0
DB00838,3
DB00838,0
DB00591,3
DB00591,0
DB00596,3
DB00596,0
DB00223,3
DB00223,0
DB08970,3
DB08970,0
DB08971,3
DB00763,0
DB00764,3
DB00764,0
DB01384,3
DB00290,0
DB00324,3
DB00324,0
DB00443,3
DB00443,0
DB01047,3
DB01047,0
DB01410,3
DB01283,0
DB00838,3
DB00838,0
DB01222,3
DB01222,0
DB00591,3
DB06216,0
DB01234,3
DB01234,0
DB00223,3
DB09257,0
DB01222,3
DB01222,0
DB00846,3
DB00846,0
DB08906,3
DB08906,0
DB00663,3
DB00663,0
DB01380,3
DB01380,0
DB01384,3
DB01384,0
DB00253,3
DB00253,0
DB00846,3
DB00846,0
DB00199,4
DB00199,0
DB00869,4
DB00869,0
DB09227,4
DB09227,0
DB06736,4
DB06736,0
DB00865,4
DB00865,0
DB06770,4
DB06770,0
DB06772,4
DB06772,0
DB06777,4
DB06777,0
DB00622,4
DB00622,0
DB01621,4
DB01621,0
DB00495,4
DB00495,0
DB00496,4
DB00496,0
DB00497,4
DB00497,0
DB00835,4
DB00835,0
DB06737,4
DB06737,0
DB00836,4
DB00836,0
DB06403,4
DB06403,0
DB00498,4
DB00498,0
DB00499,4
DB00499,0
DB00755,4
DB00755,0
DB01349,4
DB01349,0
DB00656,4
DB00656,0
DB08439,4
DB08439,0
DB01409,4
DB01409,0
DB00655,4
DB00655,0
DB11614,4
DB11614,0
DB00997,4
DB00997,0
DB00991,4
DB00991,0
DB06770,4
DB06770,0
DB00193,4
DB00193,0
DB00153,4
DB00153,0
DB00808,4
DB00808,0
DB01551,4
DB01551,0
DB09236,4
DB09236,0
DB00448,4
DB00448,0
DB00199,4
DB00199,0
DB06772,4
DB06772,0
DB01558,4
DB01558,0
DB01559,4
DB01559,0
DB08828,4
DB08828,0
DB01244,4
DB11235,0
DB08918,4
DB08918,0
DB04946,4
DB04946,0
DB00091,4
DB00091,0
DB00904,4
DB00904,0
DB00907,4
DB00907,0
DB01221,4
DB01221,0
DB01062,4
DB01062,0
DB00759,4
DB00759,0
DB06282,4
DB06282,0
DB01259,4
DB01259,0
DB08910,4
DB08910,0
DB00843,4
DB00843,0
DB01008,4
DB01008,0
DB01009,4
DB01009,0
DB09297,4
DB09297,0
DB11613,4
DB11613,0
DB01002,4
DB01002,0
DB00481,4
DB00481,0
DB01006,4
DB01006,0
DB09230,4
DB09230,0
DB00682,4
DB00682,0
DB01006,4
DB01006,0
DB01349,4
DB01349,0
DB08992,4
DB08992,0
DB00540,4
DB00540,0
DB00567,4
DB00567,0
DB00543,4
DB00543,0
DB01076,4
DB01076,0
DB00188,4
DB00188,0
DB00316,4
DB00316,0
DB01392,4
DB01392,0
DB01151,4
DB01151,0
DB00091,4
DB00091,0
DB00544,4
DB00544,0
DB01194,4
DB01194,0
DB00549,4
DB00549,0
DB00936,4
DB00936,0
DB08893,4
DB08893,0
DB04743,4
DB04743,0
DB00177,4
DB00177,0
DB09289,4
DB09289,0
DB06708,4
DB06708,0
DB00531,4
DB00531,0
DB01173,4
DB01173,0
DB09090,4
DB09090,0
DB01136,4
DB01136,0
DB00987,4
DB00806,0
DB00980,4
DB00980,0
DB01131,4
DB01131,0
DB01132,4
DB01132,0
DB00983,4
DB00983,0
DB00332,4
DB00332,0
DB00490,4
DB00490,0
DB01138,4
DB01138,0
DB06145,4
DB06145,0
DB06144,4
DB06144,0
DB00328,4
DB00328,0
DB01544,4
DB01544,0
DB00321,4
DB00321,0
DB00674,4
DB00674,0
DB08877,4
DB08877,0
DB00224,4
DB00224,0
DB00227,4
DB00227,0
DB01085,4
DB01085,0
DB00997,4
DB00997,0
DB00220,4
DB00220,0
DB00916,4
DB00916,0
DB09227,4
DB09227,0
DB00193,4
DB00193,0
DB01065,4
DB01065,0
DB00199,4
DB00199,0
DB00356,4
DB00356,0
DB00812,4
DB00812,0
DB00818,4
DB00818,0
DB09289,4
DB09289,0
DB01110,4
DB01110,0
DB00359,4
DB00359,0
DB01002,4
DB01002,0
DB06725,4
DB06725,0
DB01222,4
DB01222,0
DB00425,4
DB00425,0
DB01006,4
DB01006,0
DB00420,4
DB00420,0
DB01227,4
DB01227,0
DB00890,4
DB00890,0
DB01229,4
DB01229,0
DB05351,4
DB05351,0
DB01009,4
DB01009,0
DB01075,4
DB01075,0
DB01074,4
DB01074,0
DB01076,4
DB01076,0
DB00757,4
DB00757,0
DB01351,4
DB01351,0
DB01124,4
DB01124,0
DB01355,4
DB00454,0
DB00724,4
DB00724,0
DB07615,4
DB07615,0
DB01431,4
DB01431,0
DB09078,4
DB09078,0
DB00794,4
DB00794,0
DB00799,4
DB00799,0
DB09026,4
DB09026,0
DB00589,4
DB00589,0
DB00588,4
DB00588,0
DB01431,4
DB01431,0
DB00234,4
DB00234,0
DB00726,4
DB00726,0
DB00918,4
DB00896,0
DB00231,4
DB00231,0
DB00240,4
DB00240,0
DB00250,4
DB00250,0
DB00227,4
DB00227,0
DB00584,4
DB00584,0
DB00246,4
DB00246,0
DB00238,4
DB00238,0
DB01129,4
DB01129,0
DB01129,4
DB01129,0
DB06145,4
DB06145,0
DB05351,4
DB05351,0
DB00184,4
DB00184,0
DB00599,4
DB00599,0
DB01179,4
DB01179,0
DB04930,4
DB04930,0
DB01177,4
DB01177,0
DB13874,4
DB13874,0
DB01175,4
DB01175,0
DB09396,4
DB09396,0
DB01067,4
DB01067,0
DB01192,4
DB00719,0
DB00665,4
DB00665,0
DB04930,4
DB04930,0
DB06144,4
DB06144,0
DB06145,4
DB06145,0
DB04938,4
DB04938,0
DB00936,4
DB00936,0
DB00316,4
DB00316,0
DB00332,4
DB00332,0
DB00622,4
DB00622,0
DB00337,4
DB00337,0
DB00624,4
DB00624,0
DB00440,4
DB00440,0
DB00628,4
DB00628,0
DB01588,4
DB00773,0
DB01229,4
DB01229,0
DB09262,4
DB09262,0
DB00778,4
DB00778,0
DB09101,4
DB09101,0
DB08868,4
DB08868,0
DB00617,4
DB00617,0
DB01418,4
DB01418,0
DB01062,4
DB01062,0
DB00612,4
DB00612,0
DB06267,4
DB06267,0
DB00637,4
DB00637,0
DB00636,4
DB00601,0
DB01151,4
DB01151,0
DB01319,4
DB01319,0
DB00177,4
DB00177,0
DB01283,4
DB01283,0
DB00175,4
DB00175,0
DB01151,4
DB01151,0
DB00783,4
DB00783,0
DB00751,4
DB00751,0
DB01236,4
DB01236,0
DB00753,4
DB00753,0
DB00755,4
DB00755,0
DB00925,4
DB00925,0
DB00757,4
DB00757,0
DB11828,4
DB11828,0
DB00759,4
DB00759,0
DB01248,4
DB01248,0
DB06145,4
DB06145,0
DB00924,4
DB00924,0
DB00759,4
DB00759,0
DB01587,4
DB01587,0
DB00337,4
DB00337,0
DB00184,4
DB00184,0
DB00185,4
DB00185,0
DB00332,4
DB00332,0
DB00938,4
DB00938,0
DB00180,4
DB00180,0
DB00248,4
DB00248,0
DB04898,4
DB04898,0
DB00246,4
DB12070,0
DB00245,4
DB00245,0
DB00936,4
DB00936,0
DB01628,4
DB01628,0
DB00240,4
DB00240,0
DB00612,4
DB00612,0
DB00613,4
DB00613,0
DB00617,4
DB00617,0
DB09167,4
DB09167,0
DB00615,4
DB00615,0
DB05381,4
DB05381,0
DB00918,4
DB08824,0
DB11737,4
DB11737,0
DB01186,4
DB01186,0
DB01184,4
DB01184,0
DB01589,4
DB01589,0
DB01215,4
DB01215,0
DB00502,4
DB00502,0
DB01219,4
DB01219,0
DB01587,4
DB01587,0
DB01424,4
DB01424,0
DB00248,4
DB00248,0
DB00784,4
DB00784,0
DB01253,4
DB01253,0
DB00240,4
DB00240,0
DB00246,4
DB01627,0
DB00297,4
DB00297,0
DB00294,4
DB00294,0
DB00245,4
DB00245,0
DB00243,4
DB00243,0
DB01418,4
DB01418,0
DB00240,4
DB00240,0
DB06282,4
DB06282,0
DB00246,4
DB00246,0
DB00245,4
DB00245,0
DB12332,4
DB12332,0
DB03756,4
DB03756,0
DB09090,4
DB09090,0
DB00248,4
DB00248,0
DB00889,4
DB00889,0
DB00808,4
DB00808,0
DB00946,4
DB00946,0
DB01074,4
DB06264,0
DB00381,4
DB00381,0
DB05351,4
DB05351,0
DB00502,4
DB00502,0
DB00503,4
DB00503,0
DB01192,4
DB01192,0
DB00717,4
DB00717,0
DB00712,4
DB00712,0
DB11581,4
DB11581,0
DB01223,4
DB01223,0
DB04572,4
DB04572,0
DB00477,4
DB00477,0
DB00474,4
DB00474,0
DB00475,4
DB00475,0
